kanji,furigana,meaning,tags,guid,romaji,hanviet
王女,おうじょ,princess,JLPT JLPT_2,mtg%KXTE/:,oujo,VƯƠNG NỮ
応ずる,おうずる,"to respond, to comply with",JLPT JLPT_2,uaD~LH-B3=,ouzuru,ỨNG
応接,おうせつ,reception,JLPT JLPT_2,bEx~ccePEK,ousetsu,ỨNG TIẾP
応対,おうたい,"receiving, dealing with",JLPT JLPT_2,"cy],C~WcL}",outai,ỨNG ĐỐI
往復,おうふく,"(col) round trip, coming and going, return ticket",JLPT JLPT_2,n3GyO1oyI7,oufuku,VÃNG PHỤC
欧米,おうべい,"Europe and America, the West",JLPT_2 JLPT Intermediate_Japanese_Ln.7 Intermediate_Japanese,n1r<]dO&N/,oubei,ÂU MỄ
応用,おうよう,"application, put to practical use",JLPT JLPT_2,KS%06Cn^yw,ouyou,ỨNG DỤNG
おおざっぱ,おおざっぱ,"rough (not precise), broad, sketchy",JLPT JLPT_2,OHMTu7)N;!,oozappa,
大通り,おおどおり,main street,JLPT JLPT_2,e8NE2/)L:D,oodoori,ĐẠI THÔNG
大凡,おおよそ,"about, approximately",JLPT JLPT_2,"j>e8>g+K{,",ooyoso,ĐẠI PHÀM
お帰り,おかえり,"return, welcome",JLPT JLPT_2,J&)&R*:;&e,okaeri,QUY
おかけください,おかけください,please sit down,JLPT JLPT_2,LmStb*}|~b,okakekudasai,
おかげさまで,おかげさまで,"Thanks to god, thanks to you",JLPT JLPT_2,E&mEeh`mWM,okagesamade,
おかず,おかず,"side dish, accompaniment for rice dishes",JLPT JLPT_2,IW;hR&<.DQ,okazu,
おかまいなく,おかまいなく,please don't fuss over me,JLPT JLPT_2,Bag34Ev^HT,okamainaku,
拝む,おがむ,"to worship, to pray",JLPT JLPT_2,BLY_FNPzlS,ogamu,BÁI
お代わり,おかわり,"second helping, another cup",JLPT JLPT_2,b}Avsf0g_X,okawari,ĐẠI
補う,おぎなう,to compensate for,JLPT JLPT_2,F#($cJz>C,oginau,BỔ
お気の毒に,おきのどくに,I'm sorry to hear that…,JLPT JLPT_2,I}O}}43=OW,okinodokuni,
屋外,おくがい,outdoors,JLPT JLPT_2,"b,/pc$HdnI",okugai,ỐC NGOẠI
送り仮名,おくりがな,part of word written in kana,JLPT JLPT_2,L0[6p2c}y;,okurigana,TỐNG GIẢ DANH
お元気で,おげんきで,Take care',JLPT JLPT_2,P?(I*3(kaT,ogenkide,NGUYÊN KHÍ
怠る,おこたる,"to neglect, to fail",JLPT JLPT_2,hI%Hy&@P79,okotaru,ĐÃI
押さえる,おさえる,"to pin down, to hold down, to press down, to hold in place, to hold steady to cover (esp. a part of one's body with one's hand), to clutch (a body part in pain), to press (a body part) to get a hold of, to obtain, to seize, to catch, to arrest",JLPT JLPT_2,"n1S,CEj^b^",osaeru,ÁP
お先に,おさきに,"before, after you",JLPT JLPT_2,O/_cfB(;1v,osakini,TIÊN
伯父,おじ,(humble) uncle (older than one's parent),JLPT JLPT_2,b<;4u^|F5a,oji,BÁ PHỤ
叔父,おじ,uncle (younger than one's parent),JLPT JLPT_2,b5[<>DjhLo,oji,THÚC PHỤ
惜しい,おしい,"regrettable, disappointing",JLPT JLPT_2,u~)4Hh}G<5,oshii,TÍCH
伯父さん,おじさん,"(hon.) middle-aged gentleman, uncle",JLPT JLPT_2,oFQ*.$]vx},ojisan,BÁ PHỤ
小父さん,おじさん,"(hon.) middle-aged gentleman, uncle",JLPT JLPT_2,LsGH|S+7Q3,ojisan,TIỂU PHỤ
叔父さん,おじさん,"(hon.) middle-aged gentleman, uncle",JLPT JLPT_2,"k@Fydl,X2%",ojisan,THÚC PHỤ
お邪魔します,おじゃまします,Excuse me for disturbing you,JLPT JLPT_2,LMVMI71T}{,ojamashimasu,TÀ MA
お世話になりました,おせわになりました,I've been in your care,JLPT JLPT_2,s4cBT5H*[h,osewaninarimashita,THẾ THOẠI
お大事に,おだいじに,"Take care of yourself, Take care!, Get well soon",JLPT Genki_Ln.12 Intermediate_Japanese JLPT_2 Intermediate_Japanese_Ln.12 Genki,Km@NEq/P(_,odaijini,ĐẠI SỰ
落着く,おちつく,"to calm down, to settle down",JLPT JLPT_2,u?j1|t;RlK,ochitsuku,LẠC TRỨ
お出掛け,おでかけ,outing,JLPT JLPT_2,"gaqrD^P,Ry",odekake,XUẤT QUẢI
お手伝いさん,おてつだいさん,maid,JLPT JLPT_2,iZR<wUzc/1,otetsudaisan,
脅かす,おどかす,"to threaten, to coerce",JLPT JLPT_2,Q>m)3/qe`#,odokasu,HIẾP
落し物,おとしもの,lost property,JLPT JLPT_2,bMV+Q#2]G~,otoshimono,LẠC VẬT
驚かす,おどろかす,"to surprise, to frighten",JLPT JLPT_2,DG2lo{usAe,odorokasu,KINH
お願いします,おねがいします,"Please (lit., I request)",JLPT JLPT_2 Intermediate_Japanese_Ln.1 Intermediate_Japanese,oy}-GPhVx},onegaishimasu,NGUYỆN
各々,おのおの,"each, every, either",JLPT JLPT_2,s;E$Q88Yv[,onoono,CÁC
伯母,おば,(humble) aunt (older than one's parent),JLPT JLPT_2,z:m(P{*wZ?,oba,BÁ MẪU
叔母,おば,aunt (younger than one's parent),JLPT JLPT_2,Ek4&AJulO*,oba,THÚC MẪU
小母さん,おばさん,"lady, woman, ma'am",JLPT JLPT_2,tO0?[][Q}q,obasan,TIỂU MẪU
おはよう,おはよう,(abbr.) Good morning,JLPT JLPT_2,hzlc9[n5z=,ohayou,
お参り,おまいり,"worship, shrine visit",JLPT JLPT_2,j2uP1/H2nj,omairi,THAM
お待たせしました,おまたせしました,Sorry to have kept you waiting,JLPT JLPT_2,tWES^gs*3w,omataseshimashita,
お待ちください,おまちください,Please wait a moment,JLPT JLPT_2,A/UH`kBoC-,omachikudasai,
おまちどおさま,おまちどおさま,Sorry to have kept you waiting,JLPT JLPT_2,kyL%[N^|az,omachidoosama,
おめでたい,おめでたい,"happy event, matter for congratulation",JLPT JLPT_2,"eET,n2`P|Z",omedetai,
思い掛けない,おもいがけない,"unexpected, casual",JLPT JLPT_2,pxYW;;jVL[,omoigakenai,
思い切り,おもいきり,"with all one's strength (heart), resignation, resolution",JLPT JLPT_2,u6znaLhPyo,omoikiri,TƯ THIẾT
思い込む,おもいこむ,"to be under impression that, to be convinced that",JLPT JLPT_2,ggq%!UTv!w,omoikomu,TƯ 
思いっ切り,おもいっきり,"very, much, fully",JLPT JLPT_2,"z,O=En=;Mc",omoikkiri,
思いっきり,おもいっきり,to the best of one's ability,JLPT JLPT_2,"B,fE|/^X*C",omoikkiri,
重たい,おもたい,"heavy, massive, serious",JLPT JLPT_2,kxf3li]&Z0,omotai,TRỌNG
お休み,おやすみ,"holiday, absence; (exp.) Good night",JLPT JLPT_2,g*1:u%%pd(,oyasumi,HƯU
おやつ,おやつ,"between meal snack, afternoon refreshment",JLPT JLPT_2,F0Bgt+CKGH,oyatsu,
親指,おやゆび,thumb,JLPT JLPT_2,Q]+3Y_+I|o,oyayubi,THÂN CHỈ
オルガン,オルガン,organ,JLPT JLPT_2,r4P=wfH}tX,orugan,
御～,おん～,honorific ~,JLPT JLPT_2,oiyGIL2u!>,on~,NGỰ
恩恵,おんけい,"blessing, benefit",JLPT JLPT_2,t6?1>QfZ5F,onkei,ÂN HUỆ
温室,おんしつ,greenhouse,JLPT JLPT_2,j@PV(c1<I%,onshitsu,ÔN THẤT
温泉,おんせん,"spa, hot spring",JLPT Intermediate_Japanese JLPT_2 Genki_Ln.9 Intermediate_Japanese_Ln.10 Genki,p7%rZNufe3,onsen,ÔN TUYỀN
温帯,おんたい,temperate zone,JLPT JLPT_2,it?~KTCCdv,ontai,ÔN ĐỚI
御中,おんちゅう,Messrs.,JLPT JLPT_2,i:g_|_*4fM,onchuu,NGỰ TRUNG
女の人,おんなのひと,woman,Genki_Ln.7 JLPT JLPT_2 Genki,k`gpRcVkY^,onnanohito,NỮ NHÂN
蚊,か,mosquito,JLPT JLPT_2,j=4=()Uwi2,ka,VĂN
カーブ,カーブ,curve; curve ball (baseball),JLPT JLPT_2,"H$,bx/Aa*A",kaabu,
貝,かい,"shell, shellfish",JLPT JLPT_2,HNd6/BU{>X,kai,BỐI
外～,がい～,"foreign ~, outside ~",JLPT JLPT_2,hm9sVyWCE},gai~,NGOẠI
開会,かいかい,opening of a meeting,JLPT JLPT_2,Lh4g/O2OJM,kaikai,KHAI HỘI
会館,かいかん,"meeting hall, assembly hall",JLPT JLPT_2,liybJFP&?H,kaikan,HỘI QUÁN
改札,かいさつ,examination of tickets,JLPT JLPT_2,y:jbDc8VoT,kaisatsu,CẢI TRÁT
解散,かいさん,"breakup, dissolution",JLPT JLPT_2,k.tjPn~)Hk,kaisan,GIẢI TÁN
海水浴,かいすいよく,"sea bathing, seawater bath",JLPT JLPT_2,b`BB!zK8zx,kaisuiyoku,HẢI THỦY DỤC
回数,かいすう,"number of times, frequency",JLPT JLPT_2,e]X6r<D@Yf,kaisuu,HỒI SỔ
回数券,かいすうけん,book of tickets,JLPT JLPT_2,vh5]if8XnX,kaisuuken,HỒI SỔ KHOÁN
改正,かいせい,"revision, amendment, alteration",JLPT JLPT_2,wJ:fR1W1sK,kaisei,CẢI CHÁNH
快晴,かいせい,good weather,JLPT JLPT_2,ud00-YM]pE,kaisei,KHOÁI TÌNH
解説,かいせつ,"explanation, commentary",JLPT JLPT_2,"z,rNuHyUJ$",kaisetsu,GIẢI THUYẾT
改造,かいぞう,remodeling,JLPT JLPT_2,GV-RfF@Gn1,kaizou,CẢI TẠO
開通,かいつう,"opening, open",JLPT JLPT_2,BJU-xej2c~,kaitsuu,KHAI THÔNG
回転,かいてん,"rotation, turning",JLPT JLPT_2,bT_5rLaFDl,kaiten,HỒI CHUYỂN
解答,かいとう,"answer, solution",JLPT JLPT_2,"yT|.1iJ,_Q",kaitou,GIẢI ĐÁP
回答,かいとう,"reply, answer",JLPT JLPT_2,E!J[iX3Ig-,kaitou,HỒI ĐÁP
外部,がいぶ,"the outside, external",JLPT JLPT_2,yk*]@{a4/.,gaibu,NGOẠI BỘ
解放,かいほう,"release, liberation, emancipation",JLPT JLPT_2,zS7|<$4Sg9,kaihou,GIẢI PHÓNG
開放,かいほう,"open, throw open, liberalization",JLPT JLPT_2,K(=v$Si}Sa,kaihou,KHAI PHÓNG
海洋,かいよう,ocean,JLPT JLPT_2,"c?Kf,aYa,k",kaiyou,HẢI DƯƠNG
概論,がいろん,"introduction, general remark",JLPT JLPT_2,EagQlRaO<~,gairon,KHÁI LUẬN
却って,かえって,"on the contrary, rather",JLPT JLPT_2,Ff-Dhop([3,kaette,KHƯỚC
家屋,かおく,"house, building",JLPT JLPT_2,K9=P{6t9d@,kaoku,GIA ỐC
係わる,かかわる,"to concern oneself in, to be involved in",JLPT JLPT_2,e1]obK7qg.,kakawaru,HỆ
書留,かきとめ,registered mail,JLPT JLPT_2,"P,x~yeJiAf",kakitome,THƯ LƯU
書取,かきとり,dictation,JLPT JLPT_2,nlq[7d^Cda,kakitori,THƯ THỦ
垣根,かきね,hedge,JLPT JLPT_2,s%pg!Off-$,kakine,VIÊN CĂN
限り,かぎり,"limit(s), as far as possible",JLPT JLPT_2,nd]$n-hPJY,kagiri,HẠN
各～,かく～,"every ~, each ~",JLPT JLPT_2,JIKk5aY~sz,kaku~,CÁC
架空,かくう,"imaginary, fiction, fanciful",JLPT JLPT_2,keLv$&NvXw,kakuu,GIÁ KHÔNG
各自,かくじ,"individual, each",JLPT JLPT_2,u>j/FKC5==,kakuji,CÁC TỰ
拡充,かくじゅう,expansion,JLPT JLPT_2,k9>S;S#x^),kakujuu,KHUẾCH SUNG
学術,がくじゅつ,"science, learning, scholarship",JLPT JLPT_2,y2n!_T5t*M,gakujutsu,HỌC THUẬT
各地,かくち,various parts of the country,JLPT JLPT_2 Intermediate_Japanese_Ln.10 Intermediate_Japanese,M_|B!vf-KS,kakuchi,CÁC ĐỊA
拡張,かくちょう,"expansion, extension",JLPT JLPT_2,"qk,U%yom=n",kakuchou,KHUẾCH TRƯƠNG
角度,かくど,angle,JLPT JLPT_2,xYUahGWaOD,kakudo,GIÁC ĐỘ
学年,がくねん,"year in school, grade in school",JLPT JLPT_2,snv|Q^7V&<,gakunen,HỌC NIÊN
学部,がくぶ,"department of a university undergraduate (course, program, etc.)",JLPT JLPT_2,M{Rt-~pV[8,gakubu,HỌC BỘ
格別,かくべつ,exceptional,JLPT JLPT_2,ew:H.)$lIz,kakubetsu,CÁCH BIỆT
確率,かくりつ,probability,JLPT JLPT_2,B^!PO()@Fj,kakuritsu,XÁC SUẤT
学力,がくりょく,"scholarship, knowledge",JLPT JLPT_2,fg#sj4f&H/,gakuryoku,HỌC LỰC
掛け算,かけざん,multiplication,JLPT JLPT_2,NBNX=8%`mD,kakezan,QUẢI TOÁN
かけざん,かけざん,multiplication,JLPT JLPT_2,J(J6;KG1P0,kakezan,
可決,かけつ,"approval, adoption (e.g., motion, bill), passage",JLPT JLPT_2,?AdRO|`D3,kaketsu,KHẢ QUYẾT
火口,かこう,crater (of a volcano),JLPT JLPT_2,I>{#77)U2L,kakou,HỎA KHẨU
下降,かこう,"decline, descent, fall",JLPT JLPT_2,olO#.LVae],kakou,HẠ HÀNG
重ねる,かさねる,"to pile up, to heap up, to stack up, to put on top of another to repeat many times over, to go through repeatedly, to accumulate",JLPT JLPT_2,v-}D_SOws/,kasaneru,TRỌNG
飾り,かざり,"decoration, ornament, trimmings",JLPT JLPT_2,MTDy9F:WDT,kazari,SỨC
火山,かざん,volcano,JLPT JLPT_2 Intermediate_Japanese_Ln.10 Intermediate_Japanese,nQ^q[SYzad,kazan,HỎA SAN
かしこまりました,かしこまりました,Certainly,JLPT JLPT_2 Genki_Ln.20 Genki,K[_B[U0SFm,kashikomarimashita,
貸し出し,かしだし,"lending, loaning",JLPT JLPT_2,jgwQltf^|5,kashidashi,THẢI XUẤT
過失,かしつ,"error, mistake, negligence",JLPT JLPT_2,wGXKGa.Q$k,kashitsu,QUÁ THẤT
果実,かじつ,fruit,JLPT JLPT_2,Hr5#b<WZv5,kajitsu,QUẢ THỰC
貸間,かしま,room to let,JLPT JLPT_2,f;Mu?;YNxY,kashima,THẢI GIAN
貸家,かしや,house for rent,JLPT JLPT_2,xG+iA}dT^k,kashiya,THẢI GIA
箇所,かしょ,"place, point, part",JLPT JLPT_2,"u73w,EFcqC",kasho,CÁ SỞ
かしょ,かしょ,"passage, place",JLPT JLPT_2,QWm(5L}$9%,kasho,
過剰,かじょう,"excess, over-",JLPT JLPT_2,gyP>>^hD);,kajou,QUÁ THẶNG
かじる,かじる,"to chew, to bite (at)",JLPT JLPT_2,HPUE@sF)^#,kajiru,
課税,かぜい,taxation,JLPT JLPT_2,v<>5#MB}<q,kazei,KHÓA THUẾ
カセット,カセット,cassette (tape),JLPT JLPT_2,O31|Fi(S7Q,kasetto,
下線,かせん,"underline, underscore",JLPT JLPT_2,pq&rc|>fY.,kasen,HẠ TUYẾN
加速,かそく,acceleration,JLPT JLPT_2,MT@qI_:;KR,kasoku,GIA TỐC
加速度,かそくど,acceleration,JLPT JLPT_2,ic-:spL~M@,kasokudo,GIA TỐC ĐỘ
かたかな,かたかな,katakana,JLPT JLPT_2,QPplVw&IAL,katakana,
かたづく,かたづく,"to put in order, to dispose of, to solve",JLPT JLPT_2,"z6jkVh5~d,",katazuku,
塊,かたまり,"lump, mass, cluster",JLPT JLPT_2,iJm<x_b^7C,katamari,KHỐI
固まる,かたまる,"to harden, to solidify, to become firm",JLPT JLPT_2,iT33@SKQ0$,katamaru,CỐ
片道,かたみち,one-way (trip),JLPT JLPT_2,tN}hoBEcWZ,katamichi,PHIẾN ĐẠO
傾く,かたむく,"to incline toward, to slant, to lurch",JLPT JLPT_2,"eRHA+m,LAe",katamuku,KHUYNH
片寄る,かたよる,"to be one-sided, to incline, to be partial",JLPT JLPT_2,Q|RAcaS;Ac,katayoru,PHIẾN KÍ
学科,がっか,"study subject, course of study",JLPT JLPT_2,d/U/mP87B<,gakka,HỌC KHOA
学会,がっかい,academic conference,JLPT_2 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese,rvd2E[%d:l,gakkai,HỌC HỘI
楽器,がっき,musical instrument,JLPT JLPT_2,zj[&tINbu_,gakki,LẠC KHÍ
学級,がっきゅう,class,JLPT JLPT_2,xHn7Zkw(je,gakkyuu,HỌC CẤP
担ぐ,かつぐ,"to shoulder, to carry on shoulder",JLPT JLPT_2,uNP=4K#|_6,katsugu,ĐAM
括弧,かっこ,"parenthesis, brackets",JLPT JLPT_2,E4PO59(otM,kakko,QUÁT HỒ
活字,かつじ,printing type,JLPT JLPT_2,lS9+ur8Rhy,katsuji,HOẠT TỰ
勝手に,かってに,"arbitrarily,",JLPT JLPT_2,c;rdge_lIB,katteni,THẮNG THỦ
活躍,かつやく,"activity (esp. energetic or successful), great efforts, active participation",JLPT JLPT_2,t6eKeTVxu1,katsuyaku,HOẠT DƯỢC
活力,かつりょく,"vitality, energy",JLPT JLPT_2,P=dyC+Atno,katsuryoku,HOẠT LỰC
課程,かてい,"course, curriculum",JLPT JLPT_2,"g,{yU7}}eo",katei,KHÓA TRÌNH
仮名,かな,kana,JLPT JLPT_2,r+|=nvx{%},kana,GIẢ DANH
仮名遣い,かなづかい,"kana orthography, syllabary spelling",JLPT JLPT_2,q:v%>e2~9#,kanazukai,GIẢ DANH KHIỂN
鐘,かね,"bell (often a large hanging bell), chime",JLPT JLPT_2,MiZAx.nm4S,kane,CHUNG
加熱,かねつ,heating,JLPT JLPT_2,D58GJ/(V81,kanetsu,GIA NHIỆT
兼ねる,かねる,to simultaneously serve two or more functions,JLPT JLPT_2,s0EuumM^s>,kaneru,KIÊM
カバー,カバー,"cover (e.g., book)",JLPT JLPT_2,h7<4il+kD=,kabaa,
過半数,かはんすう,majority,JLPT JLPT_2,t.8/F.$N=Y,kahansuu,QUÁ BÁN SỔ
かび (～がはえる),かび (～がはえる),"mold, mildew",JLPT JLPT_2,Q.7b{&DG}o,kabi (~gahaeru),
被せる,かぶせる,to cover (with something),JLPT JLPT_2,BdRmJ;EC_8,kabuseru,BỊ
釜,かま,"iron pot, kettle",JLPT JLPT_2,M+N1Y3/)pj,kama,PHỦ
構いません,かまいません,it's all right; one doesn’t mind,Intermediate_Japanese_Ln.4 JLPT JLPT_2 Intermediate_Japanese,vd/0yY>i6%,kamaimasen,
紙屑,かみくず,wastepaper,JLPT JLPT_2,vvZ;(*{sDL,kamikuzu,CHỈ TIẾT
神様,かみさま,god,JLPT JLPT_2 Genki_Ln.20 Genki,QtI1aTgK3F,kamisama,THẦN DẠNG
剃刀,かみそり,razor,JLPT JLPT_2,EUVj(OJ|`3,kamisori,THẾ ĐAO
ガム,ガム,chewing gum,JLPT JLPT_2,IjCKN~>gDp,gamu,
貨物,かもつ,"cargo, freight",JLPT JLPT_2,Ee3iA.}E1T,kamotsu,HÓA VẬT
歌謡,かよう,"song, ballad",JLPT JLPT_2,B8j5MHOl3a,kayou,CA DAO
殻,から,"shell, husk, hull, pod, chaff",JLPT JLPT_2,E[9cW:WqUf,kara,XÁC
カラー,カラー,"collar, color",JLPT JLPT_2,hoWS%R]$xc,karaa,
からかう,からかう,"to ridicule, to make fun of",JLPT JLPT_2,f1|Z(DjQl3,karakau,
空っぽ,からっぽ,"empty, vacant, hollow",JLPT JLPT_2,ymKUE(fK%o,karappo,KHÔNG
かるた,かるた,playing cards (POR: carta),JLPT JLPT_2,cJB:Z0SpF-,karuta,
枯れる,かれる,"to wither, to die (plant), to be blasted (plant)",JLPT JLPT_2,w%ev2Rq1&r,kareru,KHÔ
カロリー,カロリー,calorie,JLPT JLPT_2,"diZF6u*,sD",karorii,
可愛がる,かわいがる,"to love, to be affectionate",JLPT JLPT_2,zX92vgkXT;,kawaigaru,KHẢ ÁI
乾かす,かわかす,"to dry (clothes, etc.), to desiccate",JLPT JLPT_2,pnSoE/i9wh,kawakasu,KIỀN
為替,かわせ,"money order, exchange",JLPT JLPT_2,JjeKsySAG^,kawase,VI THẾ
瓦,かわら,roof tile,JLPT JLPT_2,Bf6o<dScJ^,kawara,NGÕA
間隔,かんかく,"space, interval space character, whitespace",JLPT JLPT_2,f(q^~|ToF|,kankaku,GIAN CÁCH
換気,かんき,ventilation,JLPT JLPT_2,to8!Q9kk&},kanki,HOÁN KHÍ
感激,かんげき,"deep emotion, impression, inspiration",JLPT JLPT_2,yU>I7PD.[:,kangeki,CẢM KÍCH
関西,かんさい,"south-western half of Japan, including Osaka",JLPT JLPT_2,"mfDDR,OXu:",kansai,QUAN TÂY
元日,がんじつ,New Year's Day,JLPT JLPT_2,u|JK#Xa]e5,ganjitsu,NGUYÊN NHẬT
鑑賞,かんしょう,appreciation,JLPT JLPT_2,E642S>/DUA,kanshou,GIÁM THƯỞNG
感ずる,かんずる,"to feel, to sense",JLPT JLPT_2,Nfi9|FOf@O,kanzuru,CẢM
間接,かんせつ,"indirect, indirectness",JLPT JLPT_2,dxp6!l6@:y,kansetsu,GIAN TIẾP
乾燥,かんそう,"dry, arid, insipid, dehydrated",JLPT JLPT_2,td4Zh9`xWT,kansou,KIỀN TÁO
感想,かんそう,"impressions, thoughts, feelings, reactions",JLPT JLPT_2,Dl}@=q4$z6,kansou,CẢM TƯỞNG
観測,かんそく,observation,JLPT JLPT_2,DpaRQHledo,kansoku,QUAN TRẮC
寒帯,かんたい,frigid zone,JLPT JLPT_2,kuZZ@R:&?,kantai,HÀN ĐỚI
勘違い,かんちがい,"misunderstanding, wrong guess",JLPT JLPT_2,Hn~gIt2Uw4,kanchigai,KHÁM VI
官庁,かんちょう,"government office, authorities",JLPT JLPT_2,e-}veyn2>L,kanchou,QUAN SẢNH
缶詰,かんづめ,"canning, canned goods,",JLPT JLPT_2,dGjAI6[GGs,kanzume,PHỮU CẬT
乾電池,かんでんち,"dry cell, battery",JLPT JLPT_2,kSO!})gG5D,kandenchi,KIỀN ĐIỆN TRÌ
関東,かんとう,"eastern half of Japan, including Tokyo",JLPT JLPT_2,q$Rzr7k!?N,kantou,QUAN ĐÔNG
観念,かんねん,"idea, notion; sense",JLPT JLPT_2,H`W;t.blod,kannen,QUAN NIỆM
乾杯,かんぱい,Cheers! (a toast),JLPT_2 JLPT Genki_Ln.8 Genki,qtXR3lc8pv,kanpai,KIỀN BÔI
看板,かんばん,"sign, signboard",JLPT JLPT_2,f~lT@>sl(B,kanban,KHÁN BẢN
看病,かんびょう,nursing (a patient),JLPT JLPT_2,d4(@OW=wzg,kanbyou,KHÁN BỆNH
冠,かんむり,"crown, wreath",JLPT JLPT_2,"u>]rwp,Fs[",kanmuri,QUAN
漢和,かんわ,"Chinese Character-Japanese (e.g., dictionary)",JLPT JLPT_2,"mNHDxx[&,N",kanwa,HÁN HÒA
気圧,きあつ,atmospheric pressure,JLPT JLPT_2,w71unwo/e>,kiatsu,KHÍ ÁP
着替え,きがえ,"changing clothes, change of clothes",JLPT JLPT_2,vi{&DRUjwE,kigae,TRỨ THẾ
着替える,きがえる,to change (one's) clothes,JLPT Intermediate_Japanese JLPT_2 Genki Intermediate_Japanese_Ln.10 Genki_Ln.21,"Az6,#K9!yB",kigaeru,TRỨ THẾ
機関車,きかんしゃ,"locomotive, engine",JLPT JLPT_2,dyq%>=g>@K,kikansha,CƠ QUAN XA
飢饉,ききん,famine,JLPT JLPT_2,of0kMjM40p,kikin,CƠ CẬN
器具,きぐ,instrument,JLPT JLPT_2,f04oZ+_FOX,kigu,KHÍ CỤ
期限,きげん,"term, period, time frame time limit, deadline, cutoff (date)",JLPT JLPT_2,"hwqzFcU1,$",kigen,KÌ HẠN
記号,きごう,"symbol, code",JLPT JLPT_2,"NF?>3T^,JP",kigou,KÍ HÀO
刻む,きざむ,"to mince, to carve, to engrave",JLPT JLPT_2,"LlS,o9O&r1",kizamu,KHẮC
儀式,ぎしき,"ceremony, rite, ritual",JLPT JLPT_2,KIl/;heLfD,gishiki,NGHI THỨC
基準,きじゅん,"standard, basis, criteria",JLPT JLPT_2,l&fXwd/g5#,kijun,CƠ CHUẨN
規準,きじゅん,"standard, basis, criteria",JLPT JLPT_2,Efh]$;|u`t,kijun,QUY CHUẨN
起床,きしょう,"rising, getting out of bed",JLPT JLPT_2,"fOY,Ghbw-s",kishou,KHỞI SÀNG
着せる,きせる,to put on clothes,JLPT JLPT_2,NKt/PdYQsd,kiseru,TRỨ
基礎,きそ,"foundation, basis",JLPT JLPT_2,IMHZY>OvkD,kiso,CƠ SỞ
基地,きち,base,JLPT JLPT_2,I7{+B~;-Cv,kichi,CƠ ĐỊA
きっかけ,きっかけ,"prompt, trigger, cue",JLPT JLPT_2,e9iq#7`z5g,kikkake,
切っ掛け,きっかけ,"chance, start, cue, excuse, motive, impetus, occassion",JLPT JLPT_2,sY5&<lP/:_,kikkake,THIẾT QUẢI
ぎっしり,ぎっしり,"tightly, fully",JLPT JLPT_2,roF`vi5#iH,gisshiri,
基盤,きばん,"foundation, basis",JLPT JLPT_2,Q#hD0![*dh,kiban,CƠ BÀN
客席,きゃくせき,guest seating,JLPT JLPT_2,oKF%:%YXd4,kyakuseki,KHÁCH TỊCH
客間,きゃくま,"parlor, guest room",JLPT JLPT_2,PWjQKkx$-q,kyakuma,KHÁCH GIAN
ギャング,ギャング,gang,JLPT JLPT_2,rmu8iNTz;H,gyangu,
キャンパス,キャンパス,campus,JLPT JLPT_2,me;5WQ2vTb,kyanpasu,
休業,きゅうぎょう,"closure, shutdown, holiday",JLPT JLPT_2,oX~(4uE=OX,kyuugyou,HƯU NGHIỆP
休講,きゅうこう,lecture canceled,JLPT JLPT_2,IblG6P2b4^,kyuukou,HƯU GIẢNG
休息,きゅうそく,"rest, relief, relaxation",JLPT JLPT_2,mFQb-ci%=n,kyuusoku,HƯU TỨC
給与,きゅうよ,salary,JLPT JLPT_2,PCn?h_u$qZ,kyuuyo,CẤP DỮ
休養,きゅうよう,"rest, break, recreation",JLPT JLPT_2,RcKyI3I]Oc,kyuuyou,HƯU DƯỠNG
清い,きよい,"clear, pure, noble",JLPT JLPT_2,Gl5ERuBRxp,kiyoi,THANH
強化,きょうか,"strengthen, intensify, reinforce",JLPT JLPT_2,uXIPpdZC1R,kyouka,CƯỜNG HÓA
境界,きょうかい,boundary,JLPT JLPT_2,j7=Rl[TZ[~,kyoukai,CẢNH GIỚI
共産～,きょうさん～,communist ~,JLPT JLPT_2,j8+=)[q7=i,kyousan~,CỘNG SẢN
行事,ぎょうじ,"event, function",JLPT JLPT_2,"H,ijyT4Xeg",gyouji,HÀNH SỰ
恐縮,きょうしゅく,sorry to trouble,JLPT JLPT_2,zQMs(1T)5O,kyoushuku,KHỦNG SÚC
教養,きょうよう,"culture, education, sophistication",JLPT JLPT_2,z>(b`0D^UW,kyouyou,GIÁO DƯỠNG
行列,ぎょうれつ,"line, procession; matrix (math)",JLPT JLPT_2,NW3kj#3*Pp,gyouretsu,HÀNH LIỆT
漁業,ぎょぎょう,fishing (industry),JLPT JLPT_2,oFZ3yBC.8y,gyogyou,NGƯ NGHIỆP
曲線,きょくせん,curve,JLPT JLPT_2,iDUc0okp@!,kyokusen,KHÚC TUYẾN
規律,きりつ,"order, rules, law",JLPT JLPT_2,qH%%&6n|uU,kiritsu,QUY LUẬT
斬る,きる,"to behead, to murder",JLPT JLPT_2,npLP+:S/ui,kiru,TRẢM
気を付ける,きをつける,"to be careful, to pay attention, to take care",JLPT JLPT_2,KJo;WsH_ui,kiwotsukeru,KHÍ PHÓ
琴,きん,13-string Japanese zither,JLPT JLPT_2,ze/Aoh1sN#,kin,CẦM
金魚,きんぎょ,goldfish,JLPT JLPT_2,f4r;e>P:iY,kingyo,KIM NGƯ
